Number,one_hot_Company_Acer,one_hot_Company_Apple,one_hot_Company_Asus,one_hot_Company_Chuwi,one_hot_Company_Dell,one_hot_Company_Fujitsu,one_hot_Company_Google,one_hot_Company_HP,one_hot_Company_Huawei,one_hot_Company_LG,one_hot_Company_Lenovo,one_hot_Company_MSI,one_hot_Company_Mediacom,one_hot_Company_Microsoft,one_hot_Company_Razer,one_hot_Company_Samsung,one_hot_Company_Toshiba,one_hot_Company_Vero,one_hot_Company_Xiaomi,one_hot_TypeName_2 in 1 Convertible,one_hot_TypeName_Gaming,one_hot_TypeName_Netbook,one_hot_TypeName_Notebook,one_hot_TypeName_Ultrabook,one_hot_TypeName_Workstation,Inches,Display,Touchscreen,ScreenArea,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,one_hot_OpSys_Android,one_hot_OpSys_Chrome OS,one_hot_OpSys_Linux,one_hot_OpSys_Mac OS X,one_hot_OpSys_No OS,one_hot_OpSys_Windows 10,one_hot_OpSys_Windows 10 S,one_hot_OpSys_Windows 7,one_hot_OpSys_macOS,Weight,Price
287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,43,2.5,8,17,0,40,0,0,0,0,0,1,0,0,0,1.7,52054.56
288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,17,5,58,0,0,0,0,0,1,0,0,0,2.5,62817.12
289,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,55,2.7,8,11,0,40,0,0,0,0,1,0,0,0,0,2.2,35112.0528
290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,1,1.5,2,1,0,7,0,1,0,0,0,0,0,0,0,2.19,10602.72
291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,8,11,0,54,0,0,0,0,0,1,0,0,0,3.0,63243.36
292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,1,0,1440000,27,2.0,8,11,0,34,0,0,0,0,0,1,0,0,0,2.54,26053.92
293,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,67,2.8,8,17,0,54,0,0,0,0,0,1,0,0,0,2.0,97449.12
294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,45,1.6,8,17,0,51,0,0,0,0,0,1,0,0,0,2.05,39373.92
295,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,8,11,0,71,0,0,0,0,0,1,0,0,0,3.2,69210.72
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,67,2.8,8,17,0,58,0,0,1,0,0,0,0,0,0,2.5,52161.12
297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.3,3,0,2073600,71,2.9,16,17,0,79,0,0,0,0,0,1,0,0,0,3.42,153705.3408
